Kommun,ratio
0114,0.002582594845894602
0115,0.0012551557300510357
0117,0.0018153322138494423
0120,0.0020386801066075893
0123,0.0037399411887844487
0125,0.0015745036061944426
0126,0.005236830989649741
0127,0.003627875627615235
0128,0.0004896754440543432
0136,0.003920412716687633
0138,0.001719929728329048
0139,0.001205402742577922
0140,0.0006640036748401086
0160,0.0031004061438809844
0162,0.0014064378199533459
0163,0.0036159464037956762
0180,0.045296408257913985
0181,0.008452943296273371
0182,0.0042206432770949985
0183,0.0019575688443745913
0184,0.004777781720691264
0186,0.001834572909948052
0187,0.0004218110415085218
0188,0.008078230925887117
0191,0.003805968711974665
0192,0.0029913971357176158
0305,0.0014633875448797637
0319,0.009939465377799614
0330,0.0007495620919776251
0331,0.0012354399893726154
0360,0.0015638144332504951
0380,0.011639528568027841
0381,0.002977402577234906
0382,0.00153341380594997
0428,0.0006005115710794835
0461,0.0005209106259175542
0480,0.0033598824198644113
0481,0.01616671526748638
0482,0.001266893142251479
0483,0.0023186532040421442
0484,0.005955419871541849
0486,0.0025846472661523743
0488,0.0007504223706313482
0509,0.0007998713916660167
0512,0.00035521865091262905
0513,0.0012366668270836494
0560,0.0006228937109163586
0561,0.0006183383661685475
0562,0.002173679086095784
0563,0.0006496353819459911
0580,0.009522118365443708
0581,0.022508056398111816
0582,0.0007700644327739564
0583,0.002258312243940447
0584,0.00044044504083359353
0586,0.002427794288411437
0604,0.0005609917904660262
0617,0.0007743918365728426
0642,0.0006413318966863767
0643,0.00062906527517133
0662,0.003108534457690207
0665,0.0022860573742266243
0680,0.010770016813617082
0682,0.0021429567505777095
0683,0.0029184601387173175
0684,0.0008711923118654382
0685,0.0026499868269869134
0686,0.0017257775608118954
0687,0.0011766860822829362
0760,0.0007869594502809749
0761,0.0011028057043450331
0763,0.001285682678079581
0764,0.0016368933973368676
0765,0.0012787237940152948
0767,0.0010616905711684744
0780,0.005179221268692673
0781,0.0025294223366020413
0821,0.0003556950640354377
0834,0.0005431105904028137
0840,0.0015452482738235551
0860,0.0014950272990583776
0861,0.012479120617368795
0862,0.0012246297265532918
0880,0.005129612165087161
0881,0.0016606453080615943
0882,0.002190520599012907
0883,0.002686085931810684
0884,0.001824301753483466
0885,0.0008671512240989821
0980,0.010409958510078829
1060,0.0011200859117794157
1080,0.003565201845834146
1081,0.002058965568758673
1082,0.011185158995403807
1083,0.0010732375372128084
1214,0.0006894724633088132
1230,0.0011877903970472846
1231,0.0012497064187264803
1233,0.0012926556561860833
1256,0.0008603418181939674
1257,0.0009430971984993341
1260,0.0014580945790694027
1261,0.0011395881156036295
1262,0.0009356074039383382
1263,0.0009086499240472564
